Solving testing_graphs/data_2_partite_tparisi.csv...
Graph #504/4000: True, time=0.000101s
Graph #505/4000: True, time=0.000098s
Graph #506/4000: False, time=0.000134s
Graph #507/4000: False, time=0.000119s
Graph #508/4000: False, time=0.000129s
Graph #509/4000: False, time=0.000134s
Graph #510/4000: False, time=0.000131s
Graph #511/4000: False, time=0.000131s
Graph #512/4000: False, time=0.000130s
Graph #513/4000: True, time=0.000091s
Graph #514/4000: True, time=0.000094s
Graph #515/4000: False, time=0.000149s
Graph #516/4000: False, time=0.000139s
Graph #517/4000: False, time=0.000127s
Graph #518/4000: False, time=0.000129s
Graph #519/4000: True, time=0.000087s
Graph #520/4000: False, time=0.000133s
Graph #521/4000: False, time=0.000150s
Graph #522/4000: False, time=0.000140s
Graph #523/4000: False, time=0.000150s
Graph #524/4000: True, time=0.000098s
Graph #525/4000: True, time=0.000094s
Graph #526/4000: False, time=0.000125s
Graph #527/4000: False, time=0.000151s
Graph #528/4000: False, time=0.000131s
Graph #529/4000: False, time=0.000122s
Graph #530/4000: False, time=0.000146s
Graph #531/4000: False, time=0.000125s
Graph #532/4000: False, time=0.000135s
Graph #533/4000: True, time=0.000095s
Graph #534/4000: False, time=0.000144s
Graph #535/4000: False, time=0.000129s
Graph #536/4000: False, time=0.000168s
Graph #537/4000: True, time=0.000094s
Graph #538/4000: False, time=0.000132s
Graph #539/4000: False, time=0.000134s
Graph #540/4000: False, time=0.000123s
Graph #541/4000: False, time=0.000129s
Graph #542/4000: False, time=0.000128s
Graph #543/4000: False, time=0.000127s
Graph #544/4000: False, time=0.000132s
Graph #545/4000: True, time=0.000086s
Graph #546/4000: False, time=0.000133s
Graph #547/4000: True, time=0.000097s
Graph #548/4000: True, time=0.000089s
Graph #549/4000: True, time=0.000089s
Graph #550/4000: True, time=0.000100s
Graph #551/4000: True, time=0.000100s
Graph #552/4000: True, time=0.000099s
Graph #553/4000: False, time=0.000128s
Graph #554/4000: False, time=0.000115s
Graph #555/4000: False, time=0.000139s
Graph #556/4000: False, time=0.000132s
Graph #557/4000: True, time=0.000093s
Graph #558/4000: False, time=0.000136s
Graph #559/4000: True, time=0.000093s
Graph #560/4000: False, time=0.000123s
Graph #561/4000: True, time=0.000135s
Graph #562/4000: False, time=0.000183s
Graph #563/4000: False, time=0.000212s
Graph #564/4000: False, time=0.000196s
Graph #565/4000: True, time=0.000138s
Graph #566/4000: False, time=0.000169s
Graph #567/4000: False, time=0.000168s
Graph #568/4000: True, time=0.000133s
Graph #569/4000: True, time=0.000142s
Graph #570/4000: False, time=0.000196s
Graph #571/4000: True, time=0.000125s
Graph #572/4000: False, time=0.000183s
Graph #573/4000: False, time=0.000195s
Graph #574/4000: False, time=0.000192s
Graph #575/4000: False, time=0.000187s
Graph #576/4000: True, time=0.000127s
Graph #577/4000: False, time=0.000175s
Graph #578/4000: True, time=0.000125s
Graph #579/4000: True, time=0.000138s
Graph #580/4000: False, time=0.000182s
Graph #581/4000: True, time=0.000128s
Graph #582/4000: True, time=0.000129s
Graph #583/4000: True, time=0.000124s
Graph #584/4000: True, time=0.000128s
Graph #585/4000: False, time=0.000192s
Graph #586/4000: False, time=0.000170s
Graph #587/4000: False, time=0.000180s
Graph #588/4000: True, time=0.000125s
Graph #589/4000: False, time=0.000184s
Graph #590/4000: False, time=0.000183s
Graph #591/4000: False, time=0.000179s
Graph #592/4000: False, time=0.000200s
Graph #593/4000: False, time=0.000185s
Graph #594/4000: False, time=0.000187s
Graph #595/4000: False, time=0.000183s
Graph #596/4000: False, time=0.000175s
Graph #597/4000: False, time=0.000191s
Graph #598/4000: False, time=0.000194s
